Name,Text Length,Language Count,Languages,Categories in common,Match Score
Mike_Beatz,442,1,en,Category:1988_births Category:21st-century_American_rappers Category:Rappers_from_Miami,2.567803462
Gawvi,372,2,en es,,
,,,,,
Matt_Okoh,781,2,en de,Category:American_Professional_Soccer_League_players Category:American_soccer_players Category:Wichita_Wings_(NPSL)_players Category:National_Professional_Soccer_League_(1984–2001)_players Category:New_England_Revolution_players Category:Major_League_Soccer_players Category:Colorado_Foxes_players,3.911957833
Jim_St._Andre,552,2,en ar,,
,,,,,
Doug_Williams_(musician),374,2,en ar,Category:Musicians_from_Mississippi Category:Songwriters_from_Mississippi,4.811610643
Jimbo_Mathus,1146,1,en,,
,,,,,
Paul_Newman_(linguist),207,2,en azb,Category:Yale_University_faculty Category:Linguists_from_the_United_States Category:University_of_California,_Los_Angeles_alumni
Louis_M._Goldstein,602,1,en,,
,,,,,
Tom_Lister_Jr.,1819,40,en ace af an ar ast azb bcl br cy da de eml et ext fa fr io is it ja jv ko lmo ms nl pcd pt ro ru sco sq sv tr vi vo war xmf yo zh-min-nan,Category:American_male_television_actors Category:People_from_Compton,_California Category:American_male_film_actors Category:Male_actors_from_California
Frank_K._Wheaton,347,1,en,,
,,,,,
Alfre_Woodard,4057,33,en af ar arz ast azb bg ca cs da de es fa fi fr he ht hy id it ja kk ko nl pl pt ru sh simple sr sv tr vi,Category:Outstanding_Performance_by_a_Female_Actor_in_a_Miniseries_or_Television_Movie_Screen_Actors_Guild_Award_winners Category:American_television_actresses Category:20th-century_American_actresses Category:American_film_actresses Category:Outstanding_Performance_by_a_Lead_Actress_in_a_Miniseries_or_Movie_Primetime_Emmy_Award_winners Category:American_stage_actresses Category:21st-century_American_actresses Category:Best_Miniseries_or_Television_Movie_Actress_Golden_Globe_winners,4.487585328
Laura_Linney,2051,49,en af ar arz ast azb bg bn ca ckb cs da de el es eu fa fi fr gl he hr hu hy id it ja ka ko mk ml nl no pl pt ru sh simple sk sq sr sv th tl tr uk ur vi zh,,
,,,,,
Zelous_Wheeler,1060,5,en arz fr ja zh,Category:Helena_Brewers_players Category:Nashville_Sounds_players Category:Brevard_County_Manatees_players Category:Huntsville_Stars_players Category:West_Virginia_Power_players,3.150557679
Alcides_Escobar,1149,9,en es fr it ja ko pl simple zh,,
,,,,,
Jan_Spivey_Gilchrist,1210,1,en,Category:American_women_illustrators Category:American_illustrators Category:20th-century_American_women_writers Category:American_children's_book_illustrators Category:21st-century_American_women_writers Category:20th-century_American_writers Category:American_children's_writers,5.34300665
Petra_Mathers,278,1,en,,
,,,,,
Ayanah_Moor,760,1,en,Category:American_performance_artists Category:Women_conceptual_artists Category:American_conceptual_artists Category:American_multimedia_artists Category:21st-century_American_women_artists Category:American_video_artists,4.70981525
Arleen_Schloss,860,2,en de,,
,,,,,
Daphne_Blunt,668,2,en af,Category:21st-century_American_women_singers Category:American_female_pop_singers Category:1997_births Category:American_television_actresses Category:21st-century_American_singers Category:21st-century_American_actresses Category:American_child_actresses Category:American_pop_singers,3.776417731
Olivia_Holt,931,32,en af ar arz ast az azb bn ca cs da de eo es fa fi fr he hu hy id it ja ko nl no pl pt ro ru sv tr,,
,,,,,
