Word,Score,Word Count
African,31.50627121,1997
black,28.62631384,1803
African-American,26.38454376,1683
Black,26.20681111,2881
Williams,23.21505836,1520
Jackson,20.45690163,1436
R,20.09426711,1773
B,17.2138874,1919
Jones,15.7183113,1562
Lil,14.64501369,772
Harlem,14.536675,547
fight,14.1635462,924
King,13.57304464,1829
Johnson,13.4428605,1286
&,13.36919276,6121
NAACP,13.04901898,489
Howard,12.99186467,942
Tyson,12.98412087,185
BET,12.67194824,581
racial,12.01950081,569
Africa,12.01638615,730
Harris,12.014205,609
Beyoncé,11.91715333,240
Obama,11.72004872,1010
her,11.62778674,7394
...,,
%,-7.834693256,1334
strikeouts,-7.970418174,300
batters,-8.037735504,197
Paul,-8.039790118,1734
Hathaway,-8.227541751,107
pitching,-8.352356901,319
EP,-8.444374477,1345
pitcher,-8.467289904,677
John,-8.723282388,3899
Close,-9.112839813,126
starts,-9.205498385,321
Country,-9.312124506,441
Jewish,-9.356673504,756
Burn,-9.415562386,136
Bruce,-9.57218443,544
Post,-9.735980694,882
Pink,-10.36931509,222
pitched,-10.58805897,390
saves,-10.9405097,141
Roth,-12.01974429,126
Cohen,-12.41532876,182
innings,-12.43713319,374
band,-13.4284424,2123
Republican,-13.49072892,1220
ERA,-14.73992328,305
Eminem,-27.85882288,267
