Section,Average % of target articles devoted to section,Average % of comparison articles devoted to section,p-value of difference
early life and education,1.75%,1.11%,3.54E-13
history,0.35%,0.79%,5.15E-05
early life,3.66%,3.14%,0.000138
political positions,0.08%,0.24%,0.000138
u.s. house of representatives,0.23%,0.42%,0.001383
club career,0.33%,0.18%,0.002175
controversy,0.22%,0.10%,0.004786
early life and career,0.69%,0.45%,0.019614
work,0.30%,0.49%,0.029379
external links,0.22%,0.14%,0.033001
activism,0.17%,0.09%,0.060912
other ventures,0.10%,0.06%,0.079455
career,19.32%,18.37%,0.081273
discography,0.31%,0.41%,0.081273
recognition,0.09%,0.14%,0.081273
artistry,0.16%,0.11%,0.081273
influences,0.05%,0.03%,0.094926
bibliography,0.06%,0.11%,0.105969
legacy,0.06%,0.11%,0.105969
international career,0.19%,0.13%,0.105969
family,0.03%,0.06%,0.119407
music career,2.07%,1.78%,0.120269
professional career,2.45%,2.18%,0.143023
career statistics,0.04%,0.02%,0.143023
early career,0.25%,0.19%,0.211675
awards,0.25%,0.20%,0.301760
philanthropy,0.05%,0.07%,0.370142
amateur career,0.22%,0.18%,0.402718
further reading,0.00%,0.00%,0.414193
early years,0.24%,0.29%,0.427594
see also,0.03%,0.04%,0.461686
filmography,0.17%,0.13%,0.463693
honors and awards,0.06%,0.04%,0.463693
musical style,0.05%,0.07%,0.467462
biography,6.97%,6.64%,0.508039
honors,0.06%,0.05%,0.508039
published works,0.01%,0.02%,0.509647
personal life,2.60%,2.69%,0.520671
playing career,0.58%,0.66%,0.520671
publications,0.06%,0.08%,0.520671
mixed martial arts record,0.00%,0.00%,0.520671
tours,0.00%,0.00%,0.638651
championships and accomplishments,0.00%,0.00%,0.691902
background,0.85%,0.91%,0.691902
acting career,0.23%,0.19%,0.691902
books,0.06%,0.07%,0.763569
electoral history,0.03%,0.04%,0.763569
awards and nominations,0.05%,0.05%,0.781069
awards and honors,0.14%,0.15%,0.807861
awards and recognition,0.06%,0.05%,0.808589
musical career,1.00%,0.95%,0.816567
mixed martial arts career,0.43%,0.45%,0.816567
notes,0.03%,0.03%,0.847033
works,0.16%,0.14%,0.847033
federal judicial service,0.36%,0.37%,0.847033
exhibitions,0.06%,0.06%,0.851981
political career,0.82%,0.80%,0.900663
sources,0.04%,0.05%,0.906674
personal,0.16%,0.17%,0.906674
education,0.40%,0.41%,0.923280
professional wrestling career,0.69%,0.70%,0.970188
education and career,0.41%,0.41%,0.970188
life,0.48%,0.49%,0.970188
controversies,0.15%,0.15%,0.971802
coaching career,0.10%,0.11%,0.971802
life and career,2.86%,2.85%,0.983075
professional boxing record,0.00%,0.00%,0.983075
