,Value
Average SMD,0.0027
Number of categories with > 0.25 SMD,1
Number of categories with > 0.1 SMD,72
Number of categories with > 0.01 SMD,19901
Number of categories with > 0.001 SMD,30331
Number of categories with > 0.0001 SMD,609
Number of categories with < 0.0001 SMD,158699
Cohen's d for the differences in the number of categories between treatment and control,0.219
Average number of target categories,18.0
Average number of treatment categories,16.0
Cohen's d for the differences in article length between treatment and control,0.211
Average length of comparison article,902.0
Average length of treatment article,711.4
log-odds_mean,-0.046
log-ods_stdev,0.737
Mean polarity of log-odds scores,18.343
Std of polarity of log-odds scores,7.648
KL divervence of article topics (direction 1),0.142
KL divervence of article topics (direction 2),0.131
