Word,Score,Word Count
African,53.27,4024
African-American,47.94,2547
album,46.55,13886
black,45.68,4581
rapper,44.66,2192
mixtape,43.81,873
R,42.80,3231
Black,41.49,8112
Lil,38.60,901
single,37.29,10768
released,37.29,23948
B,36.84,3928
Jackson,33.75,4495
Williams,30.40,5311
fight,30.32,3082
Billboard,30.22,4297
hop,28.76,1710
hit,27.56,8059
rap,27.21,1307
chart,26.55,3091
hip,26.45,1953
runs,26.02,2853
BET,25.47,747
song,24.72,9784
her,24.32,36758
...,,
Science,-9.38,10760
Journal,-9.43,7720
Times,-9.48,13867
Jewish,-9.50,5630
Research,-9.57,8023
Society,-9.59,10734
Institute,-9.87,16138
editor,-10.16,9216
John,-10.37,23148
work,-10.53,39002
author,-11.30,17043
company,-11.43,16436
books,-13.00,13805
is,-13.10,102287
band,-14.17,11059
has,-14.45,77094
research,-14.77,12942
published,-15.37,21857
],-15.49,13507
[,-15.52,13384
University,-15.72,62197
book,-16.06,22058
and,-17.40,102876
:,-18.29,53186
*,-19.23,9385
of,-23.64,102287
