Name,Text Length,Language Count,Languages,Categories in common,Match Score,,
Sharon_Pratt,1900,8,en de fr it ko nl no simple,Category:Washington,_D.C._government_officials Category:Washington,_D.C._Democrats,2.323165747
Tommy_Wells,374,1,en,,,,
,,,,,,,
Katherine_Anderson,499,4,en ar arz pt,Category:Singers_from_Detroit Category:Musicians_from_Ann_Arbor,_Michigan,2.623969985,
Jem_Targal,369,1,en,,,,
,,,,,,,
Angel_Kyodo_Williams,933,1,en,Category:Buddhist_writers Category:Zen_Buddhist_monks_and_priests Category:American_Zen_Buddhists,3.918929931,,
Robert_Kennedy_(Jesuit),366,2,en ar,,,,
,,,,,,,
Toni_Harper,288,3,en ar de,Category:American_jazz_singers Category:Jazz_musicians_from_California Category:Vocal_jazz_musicians,2.866411321,,
Kalil_Wilson,648,2,en fr,,,,
,,,,,,,
Barbara_Sharief,995,1,en,Category:Florida_city_council_members Category:Mayors_of_places_in_Florida,3.24607906,,
Spero_Canton,230,1,en,,,,
,,,,,,,
Ariana_Washington,237,10,en ar arz de es fr it pl sv uk,Category:Olympic_track_and_field_athletes_of_the_United_States Category:Track_and_field_athletes_from_California Category:World_Athletics_Championships_athletes_for_the_United_States Category:World_Athletics_Championships_medalists,3.541193345,,
Jesse_Williams_(high_jumper),1287,17,en ar arz cs de es fi fr he it mn nl no pl pt ru sv,,,,
,,,,,,,
Aisha_N._Braveboy,255,1,en,Category:Politicians_from_Washington,_D.C. Category:Members_of_the_Maryland_House_of_Delegates Category:Maryland_lawyers Category:Maryland_Democrats Category:21st-century_American_politicians,4.269791724,
Joseph_F._Vallario_Jr.,504,1,en,,,,
,,,,,,,
Leslie_Maxie,684,2,en ar,Category:Olympic_track_and_field_athletes_of_the_United_States Category:Track_and_field_athletes_from_California Category:Athletes_(track_and_field)_at_the_1988_Summer_Olympics,2.508346046,,
Jeff_Atkinson_(athlete),275,6,en ar arz es fr pl,,,,
,,,,,,,
Jlin,361,1,en,Category:American_women_in_electronic_music Category:American_electronic_musicians Category:1987_births,2.859955997,,
Clams_Casino_(musician),257,6,en fi fr it nl ru,,,,
,,,,,,,
Gale_Fulton_Ross,921,2,en ar,Category:20th-century_American_printmakers Category:21st-century_American_painters Category:Artists_from_Florida Category:20th-century_American_painters,3.952783944,,
Harold_Garde,768,1,en,,,,
,,,,,,,
Saya_Woolfalk,1219,2,en tr,Category:American_contemporary_artists Category:School_of_the_Art_Institute_of_Chicago_alumni Category:American_conceptual_artists,2.696246433,,
Zach_Blas,572,1,en,,,,
,,,,,,,
Niecy_Nash,1360,15,en af ar ast azb de es fa fr it ko nl pt ru sv,Category:20th-century_American_comedians Category:Comedians_from_California Category:21st-century_American_comedians,2.401329096,,
Brad_Stine,863,1,en,,,,
,,,,,,,
Mindy_Kaling,1944,27,en af ar arz ast azb ca da de es fa fi fr he id it ja ko mr nl pt ru simple sv ta uk vi,Category:Writers_Guild_of_America_Award_winners Category:American_comedy_writers Category:Screenwriters_from_Massachusetts Category:1979_births Category:21st-century_American_comedians Category:American_television_writers Category:Comedians_from_Massachusetts Category:21st-century_American_writers,3.008730803,,
B._J._Novak,1045,27,en af ar ast azb bat-smg da de es fa fi fr he it ja ko nl no pl pt ru sh simple sr sv th zh,,,,
,,,,,,,
Mo%27Nique,1924,36,en af ar ast azb bn ca cs da de el es eu fa fi fr gl he id it ja ko nl no pl pt ro ru sh sr sv th tr uk yo zh,Category:20th-century_American_comedians Category:American_television_producers Category:Late_night_television_talk_show_hosts Category:21st-century_American_comedians,1.831438017,,
David_Letterman,8528,65,en ar arz ast bg bn br ca co cs da de dsb es et eu ext fa fi fo fr ga gd gl got gv he hu id io it ja ko kw lb lt lv mk ml ms nl nn no pdc pl pt qu ro ru sc sco simple sq sr sv th tr uk uz vec vi war yi zh zh-min-nan,,,,
,,,,,,,
Gwen_McCrae,778,3,en de fr,Category:21st-century_American_singers Category:Singers_from_Florida Category:Musicians_from_Pensacola,_Florida Category:20th-century_American_singers,3.369442524,
Aaron_Tippin,1807,8,en arz azb de es fa fr it,,,,
,,,,,,,
Movita_Johnson-Harrell,401,1,en,Category:Politicians_from_Philadelphia Category:Pennsylvania_politicians_convicted_of_crimes Category:Members_of_the_Pennsylvania_House_of_Representatives,3.359239747,,
John_Perzel,1132,1,en,,,,
,,,,,,,
Vaneese_Thomas,650,1,en,Category:Musicians_from_Memphis,_Tennessee Category:American_rhythm_and_blues_singer-songwriters Category:Songwriters_from_Tennessee,2.679392974,
Don_Bryant_(songwriter),451,2,en ar,,,,
,,,,,,,
Nkechi_Agwu,510,1,en,Category:20th-century_American_mathematicians Category:21st-century_American_mathematicians Category:1962_births,1.870963646,,
Jak%C5%A1a_Cvitani%C4%87,248,4,en fr ht pl,,,,
,,,,,,,
Katheryn_Russell-Brown,263,1,en,Category:Washington_College_of_Law_faculty Category:University_of_Maryland,_College_Park_faculty,2.762378828,
Brent_Newton,419,1,en,,,,
,,,,,,,
Anna_Deavere_Smith,1939,15,en ar arz ast azb cy de es fa fi fr it pl pt sv,Category:Center_for_American_Progress_people Category:MacArthur_Fellows,1.687585808,,
Morton_Halperin,1446,3,en ar ja,,,,
