Word,Score,Word Count
her,87.75,2425
she,73.02,2197
She,65.8,2261
Her,31.96,1484
African,18.28,671
women,17.74,715
black,16.98,585
Women,16.62,644
African-American,16.32,621
woman,15.45,613
Black,15.4,875
Williams,15.38,442
R,15.38,517
female,13.74,529
herself,13.33,419
B,13.1,557
husband,11.53,387
Jones,11.42,395
chart,10.85,485
Love,10.48,734
mother,10.43,1079
actress,10.1,413
Harris,9.74,157
Jackson,9.71,417
Kim,9.45,114
...,,
Robert,-6.78,535
Governor,-6.86,310
Bob,-7.08,287
Country,-7.21,175
guitar,-7.25,271
The,-7.43,3506
Bill,-7.8,481
David,-8.04,722
Mike,-8.07,312
state,-8.28,736
Paul,-8.71,457
governor,-8.83,151
John,-9,1045
Tom,-9.15,289
-,-9.33,312
wife,-10.8,586
Republican,-10.95,416
*,-11.47,319
himself,-12.61,432
band,-13.84,598
him,-21.23,1175
His,-28.33,1283
He,-62.39,2271
he,-66.39,2391
his,-69.93,2682
