Name,Text Length,Language Count,Languages,Categories in common,Match Score,
Avg number of common cats 4.646757679180888,,,,,,
Name,Text Length,Language Count,Languages,Categories in common,Match Score,
Jazz_Raycole,219,7,en de es fr it nl pt,Category:American_film_actresses Category:Dancers_from_California Category:Actresses_from_California Category:American_television_actresses,3.303097824,
Heather_Morris,1592,34,en af ar azb ca cs da de el es fa fi fr he hr hy id it ja ka ko lt lv ms nl no pl pt ru simple sv tl tr vi,,,
,,,,,,
Kina_Collins,550,1,en,Category:Illinois_Democrats Category:Women_in_Illinois_politics,3.374440334,
Colleen_Bell,1292,3,en ar hu,,,
,,,,,,
Raven_Saunders,452,4,en fr no pl,Category:1996_births Category:American_female_discus_throwers Category:Ole_Miss_Rebels_women's_track_and_field_athletes Category:American_female_shot_putters,6.785254882,
Janeah_Stewart,471,1,en,,,
,,,,,,
Peggie_Hartwell,620,1,en,Category:21st-century_women_textile_artists Category:Women_textile_artists Category:21st-century_American_women_artists Category:20th-century_women_textile_artists Category:20th-century_American_women_artists Category:American_textile_artists,6.399609281,
Alice_Adams_(artist),1528,4,en ar es fr,,,
,,,,,,
Daja_Dial,793,1,en,Category:American_beauty_pageant_winners Category:1993_births Category:Miss_America_2016_delegates,3.678099445,
Kalie_Wright,617,2,en ast,,,
,,,,,,
Oneda_Maryon_Castillo,864,1,en,Category:Sportspeople_from_Akron,_Ohio Category:American_female_golfers,3.681575876
Brittany_Johnston,126,2,en ar,,,
,,,,,,
Sweet_Baby_J%27ai,324,1,en,Category:American_female_jazz_singers Category:Traditional_pop_music_singers Category:Bebop_singers Category:American_jazz_singers Category:Vocal_jazz_musicians,8.256358345,
Mary_Stallings,558,1,en,,,
,,,,,,
Roslyn_Walker_(curator),224,1,en,Category:Women_museum_directors Category:American_art_curators,2.912441953,
Jacquelynn_Baas,707,1,en,,,
,,,,,,
Lacey_Schwartz,430,1,en,Category:American_women_film_directors Category:American_documentary_filmmakers Category:Women_documentary_filmmakers,3.899723884,
Julia_Reichert,589,4,en de es pt,,,
,,,,,,
Cynthia_Bond,469,4,en ar fa fr,Category:LGBT_entertainers_from_the_United_States Category:Bisexual_actresses Category:Bisexual_writers Category:LGBT_writers_from_the_United_States Category:LGBT_people_from_California,3.657417689,
Bree_Essrig,243,1,en,,,
,,,,,,
Kelli_White,411,8,en ar de fi fr nl no pl,Category:American_sportspeople_in_doping_cases Category:American_female_sprinters Category:Goodwill_Games_medalists_in_athletics Category:Doping_cases_in_athletics,4.234708432,
Michelle_Collins_(athlete),121,10,en ar de es fi fr no pl sl sv,,,
,,,,,,
Clamma_Dale,720,2,en it,Category:Classical_musicians_from_Pennsylvania Category:American_operatic_sopranos Category:Singers_from_Pennsylvania,3.088572464,
Kiera_Duffy,342,1,en,,,
,,,,,,
Aje%C3%A9_Wilson,661,13,en de el es fi fr he it no pl ru uk zh,Category:World_Athletics_Championships_medalists Category:Athletes_(track_and_field)_at_the_2016_Summer_Olympics Category:IAAF_world_record_holders_(relay) Category:Olympic_track_and_field_athletes_of_the_United_States Category:American_female_middle-distance_runners Category:World_Athletics_Championships_athletes_for_the_United_States,5.824071965,
Shannon_Rowbury,1938,13,en cs de es fr hu it nl no pl ru sl sv,,,
,,,,,,
Raven-Symon%C3%A9,4174,31,en af ar ast azb cs cy da de es fa fi fr id it ko lt nl no pl pt ro ru simple sl sq sr sv tr vi zh,Category:Walt_Disney_Records_artists Category:American_television_actresses Category:21st-century_American_singers Category:American_child_actresses Category:American_voice_actresses Category:21st-century_American_actresses Category:American_pop_singers Category:21st-century_American_women_singers Category:American_child_singers Category:American_female_pop_singers Category:Hollywood_Records_artists,3.653982943,
Bridgit_Mendler,5945,43,en af ar arz ast az azb bg cs da de el es fa fi fr he hu hy id it ja jv ko ku ms nl nn no pl pt ro ru sco sh simple sk sr sv tr vi zh zh-min-nan,,,
,,,,,,
Iris_Rideau,890,1,en,Category:Wine_merchants Category:American_winemakers Category:American_female_winemakers,4.867137171,
Mia_Klein,507,1,en,,,
,,,,,,
Ysaye_Maria_Barnwell,326,3,en azb fa,Category:Songwriters_from_New_York_(state) Category:20th-century_American_women_singers Category:Singers_from_New_York_(state) Category:American_singer-songwriters Category:20th-century_American_singers Category:Writers_from_New_York_(state),2.560259907,
Jenny_O.,512,2,en es,,,
,,,,,,
Cheryl_Pepsii_Riley,571,2,en af,Category:Singers_from_New_York_City Category:20th-century_American_women_singers Category:20th-century_American_actresses Category:21st-century_American_actresses Category:People_from_Brooklyn,3.097321588,
Ellen_Greene,860,16,en af ast azb de es fa fr hu it ja ko nl ru sv tr,,,
,,,,,,
