Language Code,Language,% of Target articles available,% of Comparison articles available,p-value of difference,p < 0.05
vi,Vietnamese,4.57%,4.40%,8.08E-01,FALSE
io,Ido,1.26%,1.19%,9.13E-01,FALSE
nn,Norwegian Nynorsk,1.67%,1.40%,4.50E-01,FALSE
oc,Occitan,0.96%,1.37%,1.74E-01,FALSE
gl,Galician,2.70%,2.83%,8.19E-01,FALSE
ml,Malayalam,1.98%,2.29%,4.54E-01,FALSE
ca,"Catalan, Valencian",7.41%,8.16%,3.03E-01,FALSE
lt,Lithuanian,1.30%,1.77%,1.67E-01,FALSE
hi,Hindi,1.23%,1.26%,1.00E+00,FALSE
mk,Macedonian,0.96%,0.85%,8.03E-01,FALSE
ta,Tamil,1.09%,0.85%,4.54E-01,FALSE
zh-min-nan,zh-min-nan,1.23%,1.71%,1.45E-01,FALSE
pa,"Punjabi, Panjabi",1.23%,0.92%,3.28E-01,FALSE
fy,Western Frisian,1.43%,1.60%,6.99E-01,FALSE
mn,Mongolian,0.68%,1.09%,1.40E-01,FALSE
sq,Albanian,1.16%,1.64%,1.45E-01,FALSE
ar,Arabic,32.05%,36.76%,1.09E-04,TRUE
de,German,28.23%,32.59%,3.50E-05,TRUE
fi,Finnish,11.64%,15.26%,7.54E-06,TRUE
fr,French,30.58%,33.82%,2.30E-03,TRUE
nl,"Dutch, Flemish",15.15%,17.92%,1.48E-03,TRUE
no,Norwegian,7.85%,11.09%,6.80E-07,TRUE
pl,Polish,14.16%,17.88%,1.26E-05,TRUE
es,"Spanish, Castilian",23.48%,26.93%,6.90E-04,TRUE
af,Afrikaans,13.62%,16.04%,3.00E-06,TRUE
azb,azb,13.52%,16.79%,2.78E-05,TRUE
bg,Bulgarian,3.48%,5.29%,4.92E-04,TRUE
fa,Persian,19.80%,23.99%,3.00E-06,TRUE
it,Italian,23.92%,28.05%,1.96E-05,TRUE
ko,Korean,12.35%,14.37%,1.16E-02,TRUE
pt,Portuguese,19.86%,21.67%,5.01E-02,TRUE
ru,Russian,18.74%,23.00%,2.65E-06,TRUE
ja,Japanese,10.89%,15.53%,3.21E-08,TRUE
cs,Czech,7.24%,9.35%,1.50E-03,TRUE
ast,ast,6.62%,10.07%,8.51E-07,TRUE
et,Estonian,2.12%,3.31%,4.66E-03,TRUE
sv,Swedish,13.79%,17.37%,2.81E-05,TRUE
th,Thai,2.15%,2.80%,9.07E-02,TRUE
zh,Chinese,5.97%,9.08%,2.65E-06,TRUE
hu,Hungarian,4.57%,7.00%,2.15E-05,TRUE
simple,simple,9.39%,12.12%,3.52E-04,TRUE
arz,arz,10.68%,12.22%,4.62E-02,TRUE
id,Indonesian,6.01%,8.67%,3.57E-05,TRUE
la,Latin,0.99%,1.60%,5.01E-02,TRUE
tl,Tagalog,1.37%,2.12%,3.04E-02,TRUE
el,"Greek, Modern (1453–)",1.77%,2.83%,5.04E-03,TRUE
he,Hebrew,7.92%,10.85%,5.51E-05,TRUE
ka,Georgian,1.54%,3.07%,5.80E-05,TRUE
ms,Malay,1.74%,2.94%,2.50E-03,TRUE
ht,"Haitian, Haitian Creole",2.83%,0.72%,3.63E-09,TRUE
ro,"Romanian, Moldavian, Moldovan",3.52%,5.32%,6.90E-04,TRUE
sh,sh,2.35%,4.85%,1.86E-07,TRUE
sr,Serbian,3.31%,5.05%,5.05E-04,TRUE
tr,Turkish,7.37%,9.76%,6.90E-04,TRUE
hr,Croatian,1.98%,3.28%,1.74E-03,TRUE
hy,Armenian,3.65%,5.84%,4.11E-05,TRUE
uk,Ukrainian,7.20%,10.24%,4.22E-06,TRUE
eo,Esperanto,1.47%,2.63%,2.64E-03,TRUE
da,Danish,4.37%,6.93%,1.21E-05,TRUE
yo,Yoruba,2.46%,0.96%,9.68E-06,TRUE
sl,Slovenian,1.84%,2.56%,3.31E-02,TRUE
az,Azerbaijani,1.13%,1.74%,6.42E-02,TRUE
sk,Slovak,1.95%,3.14%,1.62E-03,TRUE
bn,Bengali,1.60%,2.76%,1.84E-03,TRUE
cy,Welsh,1.98%,3.45%,6.16E-04,TRUE
eu,Basque,2.05%,3.55%,5.05E-04,TRUE
is,Icelandic,0.99%,1.60%,4.42E-02,TRUE
lv,Latvian,1.54%,2.80%,5.80E-04,TRUE
mai,mai,0.61%,1.09%,6.55E-02,TRUE
ne,Nepali,0.72%,1.57%,3.08E-03,TRUE
sco,sco,1.40%,2.32%,5.03E-03,TRUE
sw,Swahili,1.57%,0.61%,6.90E-04,TRUE
kk,Kazakh,1.02%,1.57%,9.25E-02,TRUE
ga,Irish,1.23%,2.08%,1.10E-02,TRUE
ur,Urdu,1.98%,3.45%,8.79E-04,TRUE
mg,Malagasy,0.82%,1.57%,1.16E-02,TRUE
