,Value
Average SMD,0.0014
Number of categories with > 0.25 SMD,0
Number of categories with > 0.1 SMD,23
Number of categories with > 0.01 SMD,9798
Number of categories with > 0.001 SMD,395
Number of categories with > 0.0001 SMD,0
Number of categories with < 0.0001 SMD,199397
Cohen's d for the differences in the number of categories between treatment and control,-0.1949
Average number of target categories,10.9600
Average number of treatment categories,12.1100
Cohen's d for the differences in article length between treatment and control,0.0364
Average length of comparison article,906.8
Average length of treatment article,864.8
log-odds_mean,-0.0045
log-ods_stdev,0.9439
Mean polarity of log-odds scores,7.3700
Std of polarity of log-odds scores,2.8000
KL divervence of article topics (direction 1),0.0084
KL divervence of article topics (direction 2),0.0081
