Word,Score,Word Count
African,21.53,913
black,20.43,786
Williams,19.16,497
African-American,18.95,845
R,16.83,567
Black,16.38,1098
Jackson,14.23,459
B,13.44,648
&,12.68,2177
Jones,11.39,519
Brown,11.35,622
Beyoncé,11.26,112
BET,9.52,226
Harlem,9.33,214
NAACP,9.08,239
Lil,9.02,136
Winfrey,8.94,144
Turner,8.66,149
Harris,8.54,205
Carey,8.33,103
white,8.23,406
Africa,7.96,295
Atlanta,7.96,476
Soul,7.76,351
Johnson,7.72,377
...,,
Act,-4.44,315
Republicans,-4.46,108
Nancy,-4.47,184
vote,-4.49,527
Sarah,-4.70,335
shared,-4.70,233
in,-4.82,5842
Amy,-4.82,179
country,-4.83,586
original,-4.89,792
Miller,-4.93,220
Bush,-5.05,227
Susan,-5.17,234
songs,-5.24,836
Broadway,-5.32,442
Kate,-5.40,178
Martha,-5.41,133
EP,-5.47,377
Ryan,-5.49,180
Van,-6.36,170
%,-6.58,434
Queen,-7.39,298
band,-7.93,589
Country,-8.12,166
Republican,-10.84,442
