Section,Average % of target articles devoted to section,Average % of comparison articles devoted to section,p-value of difference,
early life and education,2.61%,1.51%,1.22E-08,TRUE
bibliography,0.03%,0.23%,1.06E-02,TRUE
u.s. house of representatives,0.25%,0.54%,1.06E-02,TRUE
early life,3.95%,3.30%,1.39E-02,TRUE
life and career,3.90%,2.74%,1.94E-02,TRUE
work,0.44%,0.83%,4.63E-02,TRUE
federal judicial service,0.35%,0.53%,4.63E-02,TRUE
political career,0.85%,0.58%,3.50E-01,FALSE
selected works,0.10%,0.02%,3.50E-01,FALSE
early career,0.28%,0.16%,3.50E-01,FALSE
electoral history,0.02%,0.07%,3.50E-01,FALSE
activism,0.24%,0.13%,3.79E-01,FALSE
exhibitions,0.05%,0.10%,3.98E-01,FALSE
external links,0.16%,0.10%,4.06E-01,FALSE
published works,0.01%,0.05%,4.24E-01,FALSE
professional career,0.49%,0.35%,4.24E-01,FALSE
education and career,0.56%,0.71%,4.31E-01,FALSE
early years,0.21%,0.30%,4.61E-01,FALSE
publications,0.07%,0.12%,4.73E-01,FALSE
career,21.15%,20.31%,4.96E-01,FALSE
see also,0.02%,0.03%,6.11E-01,FALSE
notes,0.06%,0.08%,6.24E-01,FALSE
music career,1.38%,1.19%,6.24E-01,FALSE
awards and honors,0.18%,0.23%,6.24E-01,FALSE
further reading,0.00%,0.00%,6.24E-01,FALSE
awards and recognition,0.07%,0.11%,6.34E-01,FALSE
education,0.67%,0.59%,6.64E-01,FALSE
honors and awards,0.09%,0.06%,6.64E-01,FALSE
life,0.61%,0.72%,7.13E-01,FALSE
discography,0.17%,0.15%,7.13E-01,FALSE
early life and career,0.67%,0.57%,7.13E-01,FALSE
works,0.27%,0.21%,7.13E-01,FALSE
philanthropy,0.07%,0.09%,7.13E-01,FALSE
background,0.89%,0.97%,7.29E-01,FALSE
filmography,0.08%,0.11%,7.68E-01,FALSE
awards and nominations,0.06%,0.05%,7.68E-01,FALSE
biography,7.10%,6.87%,8.08E-01,FALSE
books,0.09%,0.08%,9.01E-01,FALSE
awards,0.34%,0.33%,9.01E-01,FALSE
honors,0.07%,0.06%,9.01E-01,FALSE
artistry,0.17%,0.18%,9.68E-01,FALSE
personal,0.21%,0.22%,9.68E-01,FALSE
personal life,3.04%,3.05%,9.73E-01,FALSE
tours,0.00%,0.00%,9.73E-01,FALSE
recognition,0.16%,0.16%,9.73E-01,FALSE
musical career,0.71%,0.72%,9.73E-01,FALSE
