Word,Score,Word Count
African,36.53,1592
African-American,34.46,1186
R,33.82,870
black,33,1633
Black,30.72,2498
B,27.96,1124
Williams,25.38,1526
album,24.99,3414
Jackson,23.81,1208
single,21.62,2972
Beyoncé,19.35,166
Lil,18.91,173
chart,17.47,991
``,17,19782
Billboard,16.98,1250
NAACP,16.92,326
rapper,16.91,413
BET,16.86,290
released,16.67,6083
,15.37,19740
&,14.87,8613
Harlem,14.76,443
Soul,14.7,646
gospel,14.67,431
Jones,14.63,1518
...,,
Society,-5.85,3467
Jewish,-5.87,1628
Review,-5.93,1864
Institute,-5.94,5369
s,-6.14,6546
Country,-6.18,966
New,-6.36,16360
in,-6.69,31147
has,-6.77,23558
Times,-6.77,4656
author,-6.91,5744
Art,-7.15,3530
York,-7.47,12842
is,-7.85,31062
books,-7.9,4266
University,-8.16,19846
],-8.23,3727
[,-8.28,3692
published,-9.23,7121
:,-9.41,16341
book,-9.43,7298
of,-9.85,31012
and,-9.88,31181
research,-9.97,4490
*,-11.51,2169
