Name,Text Length,Language Count,Languages,Categories in common,Match Score,
Hannah_Bronfman,324,3,en ar it,Category:American_people_of_Russian-Jewish_descent Category:Lehman_family Category:Loeb_family,3.91581692,
Benjamin_Bronfman,687,2,en ar,,,
,,,,,,
Bettina_Bush,333,3,en af fi,Category:American_pop_singers Category:21st-century_American_singers,1.490132712,
Melvin_LaThomas_Brimm,196,1,en,,,
,,,,,,
Suzanne_de_Passe,782,3,en de fr,Category:Television_producers_from_New_York_City Category:Film_producers_from_New_York_(state),1.640348195,
Stan_Lathan,934,2,en fr,,,
,,,,,,
Toni_Harper,288,3,en ar de,Category:Traditional_pop_music_singers Category:American_jazz_singers Category:Columbia_Records_artists Category:Torch_singers,2.035916973,
Tony_Bennett,6687,46,en ar arz az azb bg ca cs da de eo es et fa fi fo fr gl he hr hu hy id io it ja ka ko lt ml nl no oc pam pl pt ro ru simple sq sv th tr uk vi zh,,,
,,,,,,
Esther_Brimmer,473,2,en ru,Category:American_diplomats Category:Obama_administration_personnel,2.05927781,
Gentry_O._Smith,229,1,en,,,
,,,,,,
Tanya_Blount,776,4,en af it pt,Category:American_contemporary_R&amp;B_singers Category:American_soul_singers Category:American_gospel_singers,2.98242384,
Antwaun_Stanley,197,1,en,,,
,,,,,,
Aisha_Burns,362,1,en,Category:Musicians_from_Texas Category:American_singer-songwriters Category:21st-century_American_singers,2.039451359,
Leon_Bridges,1102,8,en ar de fr it ja pt th,,,
,,,,,,
Viola_Davis,2947,56,en af ar ast az azb bg bn ca cs cy da de el es eu fa fi fr gl he ht hu hy hyw id is it ja ka ko lv mk ml mn ms nl no pl pt ro ru sco sh simple sr sv ta th tr uk ur vi xmf zh zh-min-nan,Category:Drama_Desk_Award_winners Category:Tony_Award_winners Category:1965_births,1.11866645,
Jeffrey_Wright,852,34,en af ar arz ast azb ca cs da de el es fa fi fr he hi hu id it ja ko ms nl pl pt ru simple sv tr uk uz vi zh,,,
,,,,,,
Ayanna_Pressley,2213,14,en ca de fa fi fr it ja ko nl no simple sv uk,Category:Politicians_from_Chicago Category:Democratic_Party_members_of_the_United_States_House_of_Representatives,1.619827648,
Danny_K._Davis,1748,12,en ar arz de fa fr it nl ru simple sv yo,,,
,,,,,,
Leah_Gilliam,792,2,en ar,Category:American_film_directors Category:American_video_artists,1.478242595,
Donari_Braxton,339,1,en,,,
,,,,,,
Katrina_Adams,330,15,en ar cs de es fa fr hu it nl pl pt ru uk zh-min-nan,Category:Tennis_people_from_New_York_(state) Category:Tennis_commentators,1.705868531,
MaliVai_Washington,493,21,en ar cs da de es fa fi fr hy it ja nl no pl pt ru sr sv zh zh-min-nan,,,
,,,,,,
Sylvia_Trent-Adams,550,2,en simple,Category:Surgeons_General_of_the_United_States Category:University_of_Maryland,_Baltimore_County_alumni Category:Trump_administration_personnel,3.788601887
Jerome_Adams,684,5,en ar de fr simple,,,
,,,,,,
Ogonna_Nnamani,1366,12,en de fa fr ig it ja no pl pt tr uk,Category:Pan_American_Games_bronze_medalists_for_the_United_States Category:Pan_American_Games_competitors_for_the_United_States,1.304365692,
Wallace_Spearmon_Sr.,403,2,en ja,,,
,,,,,,
Rhine_McLin,355,1,en,Category:Members_of_the_Ohio_House_of_Representatives Category:Ohio_Democrats Category:Ohio_state_senators Category:21st-century_American_politicians,2.902521893,
Fred_Strahorn,393,1,en,,,
,,,,,,
Zina_Garrison,1018,23,en ar arz cs de es fa fi fr hu it ja nl no pl pt ru sk sl sv uk yo zh-min-nan,Category:Olympic_tennis_players_of_the_United_States Category:Hopman_Cup_competitors Category:Tennis_commentators,2.514333486,
MaliVai_Washington,493,21,en ar cs da de es fa fi fr hy it ja nl no pl pt ru sr sv zh zh-min-nan,,,
,,,,,,
Marie_Bernard,346,2,en ar,Category:National_Institutes_of_Health_people Category:20th-century_American_physicians Category:21st-century_American_physicians,3.015683004,
Griffin_P._Rodgers,366,1,en,,,
,,,,,,
Pat_Harvey,610,1,en,Category:Unreferenced_BLPs_from_August_2017 Category:All_unreferenced_BLPs,3.217289185,
Phillip_Jeanmarie,128,2,en pl,,,
,,,,,,
Kelly_Rowland,7911,51,en af ar arz ast azb bg ca cs da de el es fa fi fr ga he hr hu hy id it ja kk ko lt lv ms nap ne nl no pl pt ro ru sco simple sk sq sr sv sw th tl tr uk vi yo zh,Category:Musicians_from_Atlanta Category:Participants_in_American_reality_television_series Category:Singers_with_a_three-octave_vocal_range Category:American_contemporary_R&amp;B_singers Category:American_child_singers Category:American_hip_hop_singers Category:Grammy_Award_winners,1.681109214,
Usher_(musician),16035,68,en af am ar arz ast az azb be bg br ca ceb cs cy da de dty eo es et fa fi fr ga gl he hi hr hu hy id it ja ka kk ko la lt lv mai mg mk ml ms ne nl no pl pt ro ru sco sh simple so sr sv sw ta th tl tr uk vi xmf zh zh-min-nan,,,
,,,,,,
Damali_ayo,1138,2,en sr,Category:American_satirists Category:Writers_from_Washington,_D.C. Category:21st-century_American_non-fiction_writers,1.8826869
Baratunde_Thurston,389,1,en,,,
,,,,,,
Robin_Kelly,697,7,en ar arz de fa fr it,Category:Members_of_the_United_States_House_of_Representatives_from_Illinois Category:Illinois_Democrats Category:Democratic_Party_members_of_the_United_States_House_of_Representatives Category:21st-century_American_politicians,2.735298007,
Danny_K._Davis,1748,12,en ar arz de fa fr it nl ru simple sv yo,,,
