Word,Score,Word Count
her,84.95,2293
she,70.36,2038
She,63.46,2018
Her,31.19,1337
women,17.39,640
Women,15.62,513
woman,14.07,577
herself,13.24,374
female,12.26,523
husband,11.94,345
actress,10.72,403
Beyoncé,9.73,116
Williams,9.62,458
Female,8.62,134
film,8.46,906
daughter,8.11,631
role,7.58,751
Kim,7.5,155
Ms.,7.41,107
girls,7.27,158
sister,6.27,398
Lady,6.26,217
girl,6.26,227
Michelle,6.21,134
Queen,6,184
...,,
Nelson,-5.59,125
fight,-5.62,153
Tony,-5.66,218
Michael,-5.89,650
Men,-5.91,224
J,-5.93,218
man,-6.05,362
brothers,-6.1,229
fraternity,-6.23,123
actor,-6.25,370
Bobby,-6.3,199
West,-6.35,551
Jr.,-6.46,622
Male,-6.76,105
Henry,-7.04,189
wife,-7.95,462
Hamilton,-9.95,108
Young,-11.89,405
himself,-12.51,450
Campbell,-13.19,109
him,-22.24,1202
His,-28.05,1218
He,-60.1,2079
he,-64.29,2189
his,-71.79,2499
