Section,Average % of target articles devoted to section,Average % of comparison articles devoted to section,p-value of difference,
early life and education,2.21%,1.60%,0.04,TRUE
early years,0.22%,0.50%,0.14,FALSE
awards and nominations,0.08%,0.02%,0.27,FALSE
federal judicial service,0.51%,0.72%,0.27,FALSE
tours,0.01%,0.00%,0.32,FALSE
notes,0.06%,0.02%,0.32,FALSE
professional career,0.61%,0.91%,0.32,FALSE
career,19.90%,18.42%,0.35,FALSE
music career,2.18%,2.72%,0.35,FALSE
artistry,0.25%,0.16%,0.54,FALSE
publications,0.03%,0.08%,0.59,FALSE
biography,7.34%,8.20%,0.60,FALSE
life and career,3.59%,3.04%,0.64,FALSE
see also,0.02%,0.01%,0.66,FALSE
early life,3.93%,3.69%,0.66,FALSE
discography,0.23%,0.29%,0.66,FALSE
personal life,2.78%,2.55%,0.66,FALSE
filmography,0.03%,0.04%,0.66,FALSE
background,1.19%,1.38%,0.66,FALSE
awards,0.32%,0.40%,0.66,FALSE
external links,0.14%,0.10%,0.66,FALSE
bibliography,0.01%,0.04%,0.66,FALSE
awards and honors,0.16%,0.12%,0.66,FALSE
books,0.11%,0.07%,0.66,FALSE
works,0.21%,0.15%,0.66,FALSE
personal,0.15%,0.12%,0.66,FALSE
honors and awards,0.09%,0.06%,0.66,FALSE
u.s. house of representatives,0.32%,0.41%,0.66,FALSE
political career,1.17%,1.06%,0.74,FALSE
early career,0.34%,0.29%,0.74,FALSE
honors,0.10%,0.09%,0.81,FALSE
early life and career,0.64%,0.58%,0.81,FALSE
electoral history,0.03%,0.04%,0.83,FALSE
life,0.72%,0.67%,0.83,FALSE
education,0.48%,0.47%,0.90,FALSE
musical career,0.93%,0.95%,0.95,FALSE
