Word,Score,Word Count
her,133.97,4209
she,115.62,3711
She,107.72,3650
Her,51.63,2261
women,30.23,1277
Women,30.19,974
woman,23.19,1067
female,21.26,846
actress,20.49,917
herself,20.33,555
husband,19.02,608
Actress,15.3,182
Miss,14.5,296
daughter,13.53,1223
Open,13.52,218
Love,12.99,1327
Award,12.54,2436
Beyoncé,12.46,179
Female,12.26,185
Kim,11.97,251
girls,11.93,275
film,11.73,2182
University,11.71,5149
African-American,11.67,1843
Winfrey,11.54,186
...,,
round,-11.32,894
Sox,-11.32,270
*,-11.46,812
bases,-11.84,303
mixtape,-12.79,628
batted,-13.44,349
game,-13.63,1082
season,-13.7,1914
batting,-13.72,349
Major,-15.11,769
himself,-15.25,1258
baseball,-15.39,628
On,-15.64,4086
league,-16.04,636
home,-16.4,1638
Baseball,-17.27,578
games,-17.68,827
runs,-20.22,570
fight,-21.29,523
League,-21.95,1181
him,-30.82,3353
His,-32.02,3532
He,-73.72,6232
he,-79.34,6294
his,-87.96,6850
