Name,Text Length,Language Count,Languages,Categories in common,Match Score
Tony_Sano,162,2,en pt,Category:American_male_television_actors Category:American_game_show_hosts,2.378187909
Jeff_Sutphen,324,1,en,,
,,,,,
Toro_y_Moi,1471,13,en arz da de fi fr it ja ko pl pt ru sv,Category:Hypnagogic_pop_musicians Category:21st-century_American_singers Category:American_electronic_musicians Category:American_synthpop_musicians Category:American_male_singers Category:Chillwave_musicians,4.097893819
John_Maus,3282,5,en arz es ru sv,,
,,,,,
Maya_Marcel-Keyes,707,1,en,Category:American_anarchists Category:American_Christian_pacifists Category:Christian_anarchists,3.615413752
Frank_Cordaro,190,1,en,,
,,,,,
Roxanne_Persaud,298,1,en,Category:21st-century_American_politicians Category:Women_state_legislators_in_New_York_(state) Category:New_York_state_senators Category:New_York_(state)_Democrats,3.826770138
Diane_Savino,655,2,en fr,,
,,,,,
An_Tran,276,4,en fi it nl,Category:World_Series_of_Poker_bracelet_winners Category:1952_births Category:American_poker_players,3.695395858
Jim_Bechtel,860,9,en ar de fi it nl no pl pt,,
,,,,,
Nicole_Wong,716,3,en hy ru,Category:American_women_academics Category:American_women_lawyers Category:Women_legal_scholars Category:Copyright_scholars,2.459180972
Wendy_Seltzer,218,2,en ru,,
,,,,,
Vivek_A._Kumar,475,1,en,Category:American_chemical_engineers Category:American_bioengineers,2.831122498
Anthony_Guiseppi-Elie,613,1,en,,
,,,,,
Big_Baby_Gandhi,338,1,en,Category:21st-century_American_rappers Category:Rappers_from_New_York_City,2.752264605
DJ_Hurricane,581,4,en es it ru,,
,,,,,
Rocky_Tuan,877,3,en zh zh-yue,Category:Thomas_Jefferson_University_faculty Category:University_of_Pennsylvania_faculty,2.206958901
Anne_E._Kazak,474,1,en,,
,,,,,
Jun_Song,964,2,en ar,Category:American_money_managers Category:Businesspeople_from_New_York_City Category:American_hedge_fund_managers Category:American_investors Category:Stock_and_commodity_market_managers,4.927651676
Anthony_Chiasson,749,1,en,,
,,,,,
Rasika_Mathur,651,1,en,Category:1976_births Category:American_film_actresses Category:Actresses_from_Ottawa Category:American_television_actresses,3.233213782
Sarah_Chalke,900,34,en af ar ast az azb be-x-old ca cs da de es fa fi fr he hu hy is it ja kk ko lv nl no pl pt ru sh simple sv uk zh,,
,,,,,
Peter_M._Rhee,1860,2,en ko,Category:United_States_Navy_captains Category:American_naval_personnel_of_the_Iraq_War Category:American_naval_personnel_of_the_War_in_Afghanistan_(2001–present),3.872118973
Charlie_Summers,1148,2,en de,,
,,,,,
Janette_Luu,582,1,en,Category:Canadian_women_television_journalists Category:Journalists_from_Texas Category:Canadian_television_news_anchors Category:American_television_news_anchors,3.802103993
Ashleigh_Banfield,1385,4,en ar ru sco,,
,,,,,
Neel_Kashkari,3703,5,en ar de hi nl,Category:United_States_Department_of_the_Treasury_officials Category:Wharton_School_of_the_University_of_Pennsylvania_alumni Category:Obama_administration_personnel,1.990771869
Dan_Tangherlini,656,1,en,,
,,,,,
Faysal_Sohail,1001,1,en,Category:American_venture_capitalists Category:Silicon_Valley_people Category:University_of_Illinois_at_Urbana–Champaign_alumni,3.212217546
Marc_Andreessen,1790,26,en ar bg ca cs de el eo es eu fa fi fr it ja ko mg ml pl pt ro ru tr uk zh zh-min-nan,,
,,,,,
Sofia_Wylie,463,4,en af es fr,Category:American_web_series_actresses Category:American_female_dancers Category:American_child_actresses Category:21st-century_American_actresses Category:American_television_actresses Category:2004_births,4.110344445
Mackenzie_Ziegler,1675,15,en af bg ca cs de es fi fr he ja nl pt ru sr,,
,,,,,
Schuyler_Bailar,1120,1,en,Category:Transgender_and_transsexual_sportspeople Category:LGBT_sportspeople_from_the_United_States Category:Transgender_and_transsexual_men,3.550810906
Keelin_Godsey,256,1,en,,
,,,,,
Tom_Farden,899,1,en,Category:American_gymnastics_coaches Category:Utah_Red_Rocks_coaches,5.359646739
Greg_Marsden,234,1,en,,
,,,,,
Sukanya_Krishnan,784,1,en,Category:New_York_(state)_television_reporters Category:American_television_journalists Category:American_women_television_journalists Category:Television_anchors_from_New_York_City,3.989300249
Felicia_Taylor,202,2,en ar,,
,,,,,
Gene_Ha,1531,6,en de es fr ko pt,Category:21st-century_American_artists Category:American_comics_artists Category:American_comics_writers Category:DC_Comics_people Category:Marvel_Comics_people Category:20th-century_American_artists,5.579303753
Mike_Allred,669,5,en ar fr it ko,,
