Language Code,Language,% of Target articles available,% of Comparison articles available,p-value of difference,p < 0.05
de,German,27.41%,34.12%,1.84E-11,TRUE
ar,Arabic,32.54%,40.02%,4.07E-11,TRUE
it,Italian,21.08%,26.81%,4.34E-11,TRUE
he,Hebrew,6.51%,10.80%,4.34E-11,TRUE
ru,Russian,18.05%,23.67%,4.34E-11,TRUE
pl,Polish,13.10%,18.08%,4.34E-11,TRUE
fi,Finnish,11.03%,15.75%,1.10E-10,TRUE
uk,Ukrainian,7.46%,11.37%,3.67E-10,TRUE
sv,Swedish,12.21%,16.99%,4.86E-10,TRUE
nl,"Dutch, Flemish",13.48%,18.20%,6.46E-10,TRUE
es,"Spanish, Castilian",20.56%,26.09%,7.22E-10,TRUE
da,Danish,4.26%,7.49%,7.22E-10,TRUE
zh,Chinese,19.06%,14.02%,1.29E-09,TRUE
hi,Hindi,3.48%,1.32%,3.36E-09,TRUE
fr,French,28.19%,33.63%,5.00E-09,TRUE
simple,simple,5.93%,9.42%,6.95E-09,TRUE
ast,ast,4.61%,7.63%,9.02E-09,TRUE
pa,"Punjabi, Panjabi",2.59%,0.89%,4.96E-08,TRUE
ca,"Catalan, Valencian",5.27%,8.35%,5.23E-08,TRUE
pt,Portuguese,18.66%,23.06%,2.07E-07,TRUE
ro,"Romanian, Moldavian, Moldovan",2.62%,4.81%,6.39E-07,TRUE
sh,sh,1.96%,3.89%,7.44E-07,TRUE
tr,Turkish,6.77%,9.67%,1.42E-06,TRUE
sk,Slovak,1.99%,3.66%,2.08E-06,TRUE
af,Afrikaans,10.34%,12.35%,5.07E-06,TRUE
cs,Czech,6.39%,8.98%,7.93E-06,TRUE
la,Latin,1.07%,2.42%,1.56E-05,TRUE
hu,Hungarian,4.23%,6.28%,4.78E-05,TRUE
sr,Serbian,2.65%,4.32%,5.38E-05,TRUE
sl,Slovenian,1.07%,2.13%,0.0001245735512,TRUE
no,Norwegian,7.89%,10.19%,0.0001614044965,TRUE
ka,Georgian,1.09%,2.27%,0.0002350141533,TRUE
arz,arz,6.65%,8.72%,0.0002755727725,TRUE
lv,Latvian,1.35%,2.45%,0.0003224375937,TRUE
tl,Tagalog,2.13%,1.01%,0.0004600543373,TRUE
bg,Bulgarian,3.94%,5.50%,0.0006144731802,TRUE
el,"Greek, Modern (1453–)",1.30%,2.30%,0.001445419159,TRUE
hr,Croatian,1.64%,2.65%,0.003098194294,TRUE
eu,Basque,1.90%,2.97%,0.003422055804,TRUE
mg,Malagasy,2.10%,3.08%,0.004843104954,TRUE
azb,azb,12.18%,14.11%,0.00529111364,TRUE
hy,Armenian,3.83%,5.18%,0.00529111364,TRUE
fa,Persian,21.48%,23.55%,0.01525550397,TRUE
et,Estonian,2.16%,3.05%,0.01961997074,TRUE
ta,Tamil,2.74%,1.90%,0.02629740629,TRUE
eo,Esperanto,1.44%,2.16%,0.02759822455,TRUE
sco,sco,1.18%,1.81%,0.03161077447,TRUE
th,Thai,3.31%,2.51%,0.03766042267,TRUE
id,Indonesian,9.62%,8.55%,0.1135630965,FALSE
cy,Welsh,1.24%,1.67%,0.1520843864,FALSE
gl,Galician,2.48%,3.02%,0.1561322564,FALSE
vi,Vietnamese,6.65%,6.13%,0.4260675543,FALSE
ms,Malay,3.63%,3.25%,0.4474708706,FALSE
ur,Urdu,2.04%,2.33%,0.4577544775,FALSE
ja,Japanese,19.21%,18.63%,0.5043185851,FALSE
ml,Malayalam,2.45%,2.19%,0.5304727459,FALSE
bn,Bengali,3.28%,3.02%,0.5596578943,FALSE
az,Azerbaijani,1.73%,1.93%,0.5857464691,FALSE
ko,Korean,15.43%,15.66%,0.7775624395,FALSE
