Word,Score,Word Count
Asian,23.85,835
Chinese,20.20,692
India,16.90,544
Japanese,16.76,589
Chen,15.76,159
Kim,15.49,303
China,15.05,635
Korean,14.94,407
Lee,14.80,631
Chang,14.59,129
Indian,14.20,498
Korea,13.21,432
Wong,13.15,147
Wu,13.01,113
Hong,12.98,345
Wang,12.38,119
Taiwan,11.89,291
Filipino,11.57,278
Japan,11.53,583
Kong,11.52,339
Philippines,10.51,204
South,9.62,1011
descent,9.33,626
Iranian,9.04,154
Ali,8.99,116
...,,
governor,-4.28,144
Lewis,-4.36,171
Church,-4.38,247
L.,-4.41,240
into,-4.43,2242
1988,-4.43,659
Clark,-4.46,144
Anderson,-4.53,187
Gordon,-4.59,154
Bob,-4.63,303
Republican,-4.64,458
Wilson,-4.68,232
Charles,-4.71,386
Fame,-4.71,353
Paul,-4.73,690
Parker,-4.86,120
Silver,-5.01,169
James,-5.52,837
Jewish,-5.53,356
John,-5.81,1423
The,-6.12,5337
Johnson,-6.13,295
-,-6.32,408
Rose,-6.40,201
Miller,-8.05,237
