Name,Text Length,Language Count,Languages,Categories in common,Match Score
Kathleen_L._Martin,499,2,en ar,Category:United_States_Navy_rear_admirals_(upper_half) Category:Recipients_of_the_Legion_of_Merit,2.497939978
Kevin_R._Slates,121,1,en,,
,,,,,
Pura_Lopez,1277,4,en es hy ru,Category:Spanish_fashion_designers Category:Shoe_designers,5.016758757
Manolo_Blahnik,1111,27,en ar az ca cs da de es eu fa fi fr he id it ja jv ka nl no pl pt ru simple sl sv vi,,
,,,,,
Linda_Lee_Cadwell,484,18,en ar azb fa fr hu id it ko no pl pt ru sv tr uk vi zh,"Category:Writers_from_Washington_(state) Category:People_from_Everett,_Washington",2.450729239
Daniel_E._Freeman,455,3,en ar de,,
,,,,,
Alice_Wu,868,4,en ar fr sv,Category:English-language_film_directors Category:Screenwriters_from_California Category:LGBT_people_from_California Category:LGBT_directors Category:LGBT_writers_from_the_United_States,2.802524626
Todd_Haynes,3448,27,en ar arz ca cs de el es fa fi fr gl hu it ja ko mg nl no pl pt ru sh sr sv uk zh,,
,,,,,
Jill_Stewart,674,1,en,Category:Los_Angeles_Times_people Category:Stanford_University_alumni Category:American_columnists,3.648147023
Andr%C3%A9s_Martinez_(editor),789,2,en ar,,
,,,,,
Jo_Ellen_Powell,285,1,en,Category:Ambassadors_of_the_United_States_to_Mauritania Category:United_States_Foreign_Service_personnel,5.118481075
Mark_Boulware,484,3,en es fr,,
,,,,,
Dawn_Bowdish,426,1,en,Category:University_of_British_Columbia_alumni Category:Canadian_immunologists Category:Canada_Research_Chairs,3.482623766
Lorne_Babiuk,250,1,en,,
,,,,,
Sophie_Wells,421,1,en,Category:Paralympic_gold_medalists_for_Great_Britain Category:Equestrians_at_the_2012_Summer_Paralympics Category:Paralympic_silver_medalists_for_Great_Britain Category:Paralympic_medalists_in_equestrian Category:Paralympic_equestrians_of_Great_Britain Category:Medalists_at_the_2012_Summer_Paralympics,6.15127989
Lee_Pearson,303,6,en ar cs de ja simple,,
,,,,,
Jane_Garvey_(aviation_administrator),2535,1,en,Category:Clinton_administration_personnel Category:1944_births Category:Massachusetts_Democrats,2.793977016
Ernest_Moniz,609,15,en ar arz de fa fr he it no pl pt ru simple uk zh,,
,,,,,
Mary_Kramer,493,1,en,Category:Ambassadors_of_the_United_States_to_Saint_Lucia Category:Ambassadors_of_the_United_States_to_Grenada Category:Ambassadors_of_the_United_States_to_Barbados Category:Ambassadors_of_the_United_States_to_Dominica Category:Ambassadors_of_the_United_States_to_Antigua_and_Barbuda Category:Ambassadors_of_the_United_States_to_Saint_Kitts_and_Nevis Category:Ambassadors_of_the_United_States_to_Saint_Vincent_and_the_Grenadines,9.332361993
Earl_Norfleet_Phillips,258,1,en,,
,,,,,
Leslie_Dixon,462,7,en ar de fi fr id ja,"Category:Screenwriters_from_California Category:Film_producers_from_California Category:People_from_Beverly_Hills,_California",3.348393807
Jeff_Franklin,585,6,en ar fr it ja ru,,
,,,,,
Suzy_Kolber,1521,1,en,Category:Tennis_commentators Category:American_television_sports_announcers Category:American_television_sports_anchors Category:College_football_announcers Category:American_horse_racing_announcers Category:National_Football_League_announcers Category:National_Hockey_League_broadcasters,5.705816538
Jim_Kelly_(sportscaster),318,2,en simple,,
,,,,,
Haruna_Kojima,682,19,en ar arz azb bi es fa fr hy id ja jv ko ms pt ru tl vi zh,Category:People_from_Saitama_(city) Category:Musicians_from_Saitama_Prefecture,2.86017698
Koji_Asano,154,2,en ar,,
,,,,,
Susanna_Wallumr%C3%B8d,392,7,en de es fr it no sv,Category:ECM_Records_artists Category:Musicians_from_Kongsberg,3.789961075
Ivar_Grydeland,372,2,en no,,
,,,,,
Elena_Salgado,166,14,en ar ast ca cy de es fr gl nl pl ru sv tr,Category:Spanish_Socialist_Workers'_Party_politicians Category:Members_of_the_9th_Congress_of_Deputies_(Spain) Category:Deputy_Prime_Ministers_of_Spain,4.231710107
