Language Code,Language,% of Target articles available,% of Comparison articles available,p-value of difference,p < 0.05
ast,ast,4.73%,1.69%,1.05E-235,TRUE
de,German,26.16%,32.35%,5.74E-202,TRUE
zh,Chinese,8.89%,12.88%,7.51E-186,TRUE
pl,Polish,15.11%,19.69%,2.80E-172,TRUE
ar,Arabic,26.18%,32.35%,1.36E-152,TRUE
it,Italian,18.82%,23.31%,1.03E-140,TRUE
ja,Japanese,11.09%,14.67%,3.88E-127,TRUE
no,Norwegian,10.99%,14.03%,5.66E-120,TRUE
af,Afrikaans,3.70%,1.85%,1.86E-112,TRUE
cy,Welsh,2.67%,1.20%,2.59E-93,TRUE
nl,"Dutch, Flemish",12.12%,15.27%,6.02E-92,TRUE
cs,Czech,6.48%,8.91%,2.79E-83,TRUE
vi,Vietnamese,5.71%,3.66%,6.98E-81,TRUE
sv,Swedish,12.55%,15.35%,1.04E-72,TRUE
da,Danish,4.31%,6.22%,2.13E-72,TRUE
fi,Finnish,10.15%,12.72%,1.33E-66,TRUE
pt,Portuguese,14.12%,16.91%,3.02E-65,TRUE
fr,French,29.08%,32.60%,4.25E-65,TRUE
ru,Russian,17.11%,19.98%,1.24E-58,TRUE
id,Indonesian,5.53%,7.11%,5.22E-43,TRUE
et,Estonian,3.08%,4.29%,1.15E-41,TRUE
mai,mai,0.97%,0.42%,3.17E-41,TRUE
sk,Slovak,1.92%,2.92%,4.07E-41,TRUE
la,Latin,1.36%,2.25%,5.95E-40,TRUE
uk,Ukrainian,8.46%,10.16%,4.29E-38,TRUE
el,"Greek, Modern (1453–)",2.24%,3.29%,1.43E-37,TRUE
arz,arz,6.41%,7.98%,1.68E-36,TRUE
ml,Malayalam,2.35%,1.56%,4.22E-33,TRUE
be,Belarusian,0.93%,1.62%,6.07E-33,TRUE
nn,Norwegian Nynorsk,1.75%,2.49%,1.24E-30,TRUE
ur,Urdu,1.55%,0.92%,1.55E-28,TRUE
th,Thai,1.93%,2.69%,2.76E-26,TRUE
fa,Persian,13.12%,14.82%,4.70E-26,TRUE
ne,Nepali,0.89%,0.46%,4.70E-26,TRUE
lt,Lithuanian,1.57%,2.26%,6.53E-24,TRUE
mk,Macedonian,0.81%,1.32%,3.97E-21,TRUE
hu,Hungarian,4.35%,5.31%,5.40E-20,TRUE
mg,Malagasy,1.29%,1.86%,9.62E-20,TRUE
