Word,Score,Word Count
her,410.57,67699
she,391.53,64027
She,363.1,64904
Her,168.48,37429
Women,105.05,15650
women,97.54,18980
husband,66.94,10545
female,62.51,11279
woman,60.78,10922
herself,60.63,7937
actress,53.78,10397
Actress,42.9,2121
Girls,37.58,4793
Miss,37.54,2994
daughter,37.43,16140
Female,36.44,2307
feminist,33.93,2281
WTA,32.68,632
role,31.77,21940
mother,31.51,21564
girl,31.39,4631
Woman,31.15,3674
girls,27.67,3571
WNBA,27.35,549
beam,26.21,357
...,,
*,-19.09,10816
NHL,-19.17,360
that,-19.66,78663
Actor,-20.11,1373
actor,-20.28,8986
government,-20.41,13693
Male,-20.61,1381
Djokovic,-21.68,172
John,-22.28,21135
NBA,-22.36,936
band,-24.26,11245
Chairman,-24.84,4115
of,-25.01,128357
Federer,-26.48,269
men,-28.21,8714
ATP,-29.26,580
chairman,-30.56,5338
Men,-32.18,4275
wife,-37.19,13406
himself,-56.41,10710
him,-102.54,28866
His,-138.18,36581
He,-309.57,65883
his,-327.27,72537
he,-332.72,68059
