Word,Score,Word Count
her,703.5,121384
she,675.69,110496
She,634.86,110915
Her,293.75,61584
Women,186.05,26949
women,176.12,33873
actress,126.8,26346
husband,114.71,17583
female,111.77,18754
Miss,103.54,7711
woman,102.68,19154
herself,101.89,12112
Actress,83.15,4607
film,70.27,63137
Championships,70.21,25102
mother,69.91,47288
daughter,69.21,35088
role,67.39,71804
Girls,65.48,8955
``,63.85,221945
pageant,63.09,2397
feminist,63.05,3614
,62.12,221170
Female,59.41,3552
television,58.66,60821
...,,
Football,-59.63,31743
goals,-61.04,30167
side,-62.17,43864
coach,-62.7,44297
yards,-62.85,9291
goal,-66.06,35882
contract,-69.12,56454
team,-71.05,124622
On,-72.36,149098
league,-73.16,44625
scored,-78.48,46568
football,-80.19,51821
game,-80.58,61525
played,-80.73,143817
signed,-81.27,85641
games,-88.38,58473
against,-102.69,115630
club,-105.13,65365
League,-111.31,79333
him,-118.78,121398
season,-129.9,112559
His,-138.41,153915
He,-349.06,327182
his,-360.52,327474
he,-365.69,320766
