Name,Text Length,Language Count,Languages,Categories in common,Match Score
Madison_De_La_Garza,177,21,en af ar da de es fa fi fr id it ko ms no pl pt ro ru simple sl sv,Category:Actresses_from_Dallas Category:American_child_actresses Category:21st-century_American_actresses Category:2001_births Category:American_television_actresses,3.8248369
Emma_Fuhrmann,537,13,en af ar azb bg de fa id it ko pt ru vi,,
,,,,,
Tyson_Beckford,669,19,en af ar azb bg de fa fr gan id it ja ko no pl pt sv zh zh-min-nan,Category:American_male_film_actors Category:21st-century_American_male_actors Category:Male_models_from_New_Jersey Category:Male_actors_from_New_Jersey,2.523239618
Michael_Pitt,1217,28,en af ar ast azb cs de es fa fi fr gl he hy id it ja kk ko nl pl pt ru sv tr uk zh zh-yue,,
,,,,,
Julissa_Reynoso,690,4,en ast de es,Category:United_States_Department_of_State_officials Category:American_women_ambassadors Category:American_women_diplomats,3.449944474
Erin_Elizabeth_McKee,221,1,en,,
,,,,,
Carrie_Rodriguez,1395,10,en ar arz azb cs de es fa fr nl,Category:Songwriters_from_Texas Category:American_female_singer-songwriters Category:21st-century_American_singers Category:American_female_country_singers Category:Country_musicians_from_Texas Category:American_country_singer-songwriters Category:21st-century_American_women_singers,5.027672972
Abi_(Hoffman),617,2,en ar,,
,,,,,
Alberto_J._Mora,1807,2,en ar,Category:Massachusetts_Republicans Category:General_Counsels_of_the_United_States_Navy,2.745614865
Anne_M._Brennan,324,1,en,,
,,,,,
9lokkNine,657,1,en,Category:Rappers_from_Florida Category:Cash_Money_Records_artists Category:21st-century_American_rappers,3.468019668
Caskey_(rapper),817,1,en,,
,,,,,
David_Gonzales_(cartoonist),720,1,en,Category:Artists_from_California Category:People_from_Contra_Costa_County_California,4.268801927
Clayton_Bailey,1002,1,en,,
,,,,,
Sonia_Nazario,633,1,en,Category:1960_births Category:The_Wall_Street_Journal_people Category:Los_Angeles_Times_people,3.282653428
Dan_Neil,1380,2,en ar,,
,,,,,
Antonio_Neri_(businessman),650,2,en de,Category:American_chief_executives Category:Hewlett-Packard_people,2.224735885
Larry_Irving,505,2,en ar,,
,,,,,
Olivia_Boisson,300,1,en,Category:American_ballerinas Category:21st-century_ballet_dancers Category:Mae_L._Wien_Award_recipients Category:School_of_American_Ballet_alumni,5.659744575
Tiler_Peck,578,1,en,,
,,,,,
Paige_Hurd,302,9,en af ar de fa fr it nl pt,Category:Actresses_from_Texas Category:American_child_actresses Category:People_from_Dallas Category:21st-century_American_actresses Category:American_television_actresses,4.281010645
Ellen_Marlow,472,10,en af ar ast azb es fa fi pt sv,,
,,,,,
Andy_Abad,872,3,en ar ja,Category:American_expatriate_baseball_players_in_Japan Category:Boston_Red_Sox_players Category:Trenton_Thunder_players Category:Buffalo_Bisons_(minor_league)_players Category:Gulf_Coast_Red_Sox_players Category:Sacramento_River_Cats_players Category:Pawtucket_Red_Sox_players Category:Sarasota_Red_Sox_players,3.111584716
Lou_Merloni,1041,2,en ja,,
,,,,,
Maggie_Rodriguez,484,3,en ar ru,Category:American_television_news_anchors Category:American_television_reporters_and_correspondents Category:Emmy_Award_winners Category:Television_anchors_from_Miami,5.369706519
Kevin_Corke,256,1,en,,
,,,,,
Yaya_DaCosta,605,21,en af ar azb cs da de es fa fi fr he it ja ko nl pl pt ru sv zh,Category:Northfield_Mount_Hermon_School_alumni Category:Actresses_from_New_York_City Category:21st-century_American_actresses Category:Brown_University_alumni Category:American_film_actresses Category:American_television_actresses,3.384383726
Laura_Linney,2051,49,en af ar arz ast azb bg bn ca ckb cs da de el es eu fa fi fr gl he hr hu hy id it ja ka ko mk ml nl no pl pt ru sh simple sk sq sr sv th tl tr uk ur vi zh,,
,,,,,
Chris_Algieri,1986,10,en ar arz bcl de fr it ja pl ru,Category:Boxers_from_New_York_(state) Category:World_light-welterweight_boxing_champions Category:American_boxers_of_Italian_descent Category:American_male_boxers,4.094835372
Paulie_Malignaggi,3189,10,en ar de fi fr it ja la pl ru,,
,,,,,
Nairoby_Quezada,459,2,en fr,Category:American_esports_players Category:NRG_Esports_players,4.350776415
Seagull_(video_game_player),1088,1,en,,
,,,,,
Yovani_Gallardo,2549,7,en es fr ja ko pl zh,Category:Baltimore_Orioles_players Category:Huntsville_Stars_players Category:National_League_All-Stars Category:Silver_Slugger_Award_winners Category:Beloit_Snappers_players Category:Arizona_League_Brewers_players Category:Milwaukee_Brewers_players Category:Nashville_Sounds_players Category:All-Star_Futures_Game_players,4.670446264
J._J._Hardy,1970,8,en ar fr it ja ko pl zh,,
,,,,,
Travis_Pastrana,3291,18,en ast ca de es et fi fr he hu it ja nl pl pt ru sv th,Category:X_Games_athletes Category:American_rally_drivers Category:Rolex_Sports_Car_Series_drivers Category:24_Hours_of_Daytona_drivers Category:NASCAR_drivers Category:20th-century_American_racing_drivers Category:Stadium_Super_Trucks_drivers Category:21st-century_American_racing_drivers Category:NASCAR_team_owners,5.444699634
Robby_Gordon,6634,15,en ar ca de es fr id it lt nl no pl pt sco sv,,
,,,,,
Dagoberto_Gilb,860,1,en,Category:Hemingway_Foundation/PEN_Award_winners Category:American_male_novelists Category:Guggenheim_Fellows Category:University_of_California_Santa_Barbara_alumni Category:PEN/Faulkner_Award_for_Fiction_winners,3.690816184
Lawrence_Thornton,311,3,en ar pl,,
,,,,,
Lester_Bird,1184,21,en de el es fa fi fr hr id io it ja no oc pl ru sh simple tr uk zh,Category:1938_births Category:Pan_American_Games_medalists_in_athletics_(track_and_field) Category:Athletes_(track_and_field)_at_the_1959_Pan_American_Games,2.210390931
Sharon_Shepherd,160,2,en de,,
