Word,Score,Word Count
Rodriguez,19.61,276
Mexican,19.45,956
Lopez,17.08,248
Hispanic,15.41,523
Latino,15.1,544
Sanchez,14.07,181
Martinez,13.38,225
Gonzalez,12.94,174
Mexico,12.86,1044
Diaz,12.45,194
Garcia,12.32,255
Rivera,12.3,214
Cuban,12.07,354
Spanish,11.93,679
Ortiz,11.5,158
La,11.43,656
Hernandez,11.41,153
descent,11.36,920
García,11.31,113
Miami,11.15,806
Torres,10.79,147
Castro,10.53,142
Cruz,10.46,310
Chicano,10.34,149
de,10.01,912
...,,
Smith,-5.17,463
Tom,-5.19,565
Sky,-5.19,148
Jack,-5.28,440
-,-5.32,492
Act,-5.46,428
Davis,-5.5,390
Wilson,-5.75,338
Phillips,-5.75,110
Republican,-5.86,763
John,-5.86,1893
Roberts,-5.92,179
Ryan,-6,500
The,-6.19,6200
Yankee,-6.22,102
Wall,-6.46,210
Foster,-6.53,126
Senate,-6.8,819
Allen,-6.88,245
Bryan,-7.06,160
Hunt,-7.51,107
Van,-8.02,248
Queen,-10.48,249
Gordon,-10.49,162
Eye,-10.71,104
