Section,Average % of target articles devoted to section,Average % of comparison articles devoted to section,p-value of difference,
early life,3.56%,2.73%,2.86E-06,TRUE
early life and education,1.68%,1.08%,2.86E-06,TRUE
international career,0.47%,0.18%,2.26E-05,TRUE
awards,0.33%,0.17%,0.0204,TRUE
early years,0.37%,0.23%,0.0649,TRUE
see also,0.07%,0.05%,0.1465,FALSE
filmography,0.14%,0.28%,0.1465,FALSE
early life and career,0.65%,0.43%,0.1816,FALSE
bibliography,0.05%,0.11%,0.1816,FALSE
mixed martial arts career,4.66%,4.31%,0.2858,FALSE
u.s. house of representatives,0.51%,0.67%,0.2858,FALSE
music career,0.92%,0.70%,0.3668,FALSE
career,18.20%,18.92%,0.4761,FALSE
honors,0.05%,0.03%,0.4761,FALSE
career statistics,0.03%,0.03%,0.4761,FALSE
external links,0.16%,0.21%,0.5567,FALSE
mixed martial arts record,0.00%,0.00%,0.6064,FALSE
championships and accomplishments,0.01%,0.00%,0.6352,FALSE
electoral history,0.02%,0.04%,0.6352,FALSE
background,1.30%,1.19%,0.6811,FALSE
life and career,2.19%,1.97%,0.6811,FALSE
amateur career,0.36%,0.32%,0.7104,FALSE
professional career,3.08%,2.92%,0.7104,FALSE
awards and nominations,0.04%,0.05%,0.7104,FALSE
federal judicial service,0.49%,0.45%,0.7276,FALSE
personal life,3.21%,3.13%,0.7295,FALSE
discography,0.18%,0.21%,0.7295,FALSE
political career,0.99%,1.08%,0.7295,FALSE
personal,0.16%,0.17%,0.7295,FALSE
professional boxing record,0.00%,0.00%,0.8319,FALSE
education,0.32%,0.30%,0.8854,FALSE
awards and honors,0.09%,0.09%,0.8911,FALSE
works,0.13%,0.14%,0.8911,FALSE
biography,5.21%,5.21%,0.9999,FALSE
notes,0.01%,0.01%,0.9999,FALSE
books,0.03%,0.03%,0.9999,FALSE
