,Value
Average SMD,0.0028
Number of categories with > 0.25 SMD,3
Number of categories with > 0.1 SMD,89
Number of categories with > 0.01 SMD,20141
Number of categories with > 0.001 SMD,29048
Number of categories with > 0.0001 SMD,245
Number of categories with < 0.0001 SMD,160087
Cohen's d for the differences in the number of categories between treatment and control,0.2096
Average number of target categories,17.9100
Average number of treatment categories,16.0000
Cohen's d for the differences in article length between treatment and control,0.2931
Average length of comparison article,972.54
Average length of treatment article,711.42
log-odds_mean,-0.0146
log-ods_stdev,0.5654
Mean polarity of log-odds scores,15.3400
Std of polarity of log-odds scores,5.9900
KL divervence of article topics (direction 1),0.2948
KL divervence of article topics (direction 2),0.2249
