Word,Score,Word Count
UFC,51.17,808
fight,48.89,3128
Mexican,35.41,1872
Rodriguez,34.26,737
Latino,30.32,975
Hispanic,30.03,1009
Puerto,28.45,1779
Lopez,27.22,780
bout,27.18,1102
Ortiz,26.43,306
via,26.32,4736
round,25.55,5748
unanimous,25.36,1276
Garcia,25.28,718
Rivera,24.53,540
Sanchez,24.35,474
Martinez,24.3,602
Diaz,23.69,432
Gonzalez,23.19,407
Rican,22.76,917
faced,22.71,3475
Latin,22.42,2376
Morales,21.74,236
decision,21.47,5118
Chicano,21.03,257
...,,
wrote,-6.02,17299
professor,-6.15,11655
Society,-6.67,10325
Research,-6.68,7701
Science,-6.69,10329
s,-6.79,19503
is,-7.02,97145
work,-7.02,37167
Institute,-7.06,15447
author,-7.06,16484
Professor,-7.2,9613
’,-7.21,21997
The,-7.21,75721
books,-7.77,13426
has,-7.97,73438
published,-8.02,21215
book,-9.37,21279
research,-9.62,12554
],-10.06,12788
[,-10.11,12665
*,-10.17,9090
:,-11.37,50590
of,-12.66,97167
and,-13.02,97692
University,-13.66,59243
