Name,Text Length,Language Count,Languages,Categories in common,Match Score
Angel_Haze,1441,19,en ar arz azb bg de es fi fr it ko nl pl pt ro simple sq sv zh,Category:American_hip_hop_singers Category:Midwest_hip_hop_musicians Category:21st-century_American_rappers Category:Rappers_from_Detroit Category:1991_births,3.246093051
Drew_Parks,687,2,en ar,,
,,,,,
Sasha_Velour,1003,6,en es fa fr he it,Category:New_York_City_nightlife Category:American_drag_queens,2.333743863
Dallas_DuBois,172,1,en,,
,,,,,
Mal_Blum,328,1,en,Category:Songwriters_from_New_York_(state) Category:Musicians_from_New_York_(state),2.521994968
Hamell_on_Trial,445,1,en,,
,,,,,
Garcia_(actor),208,1,en,Category:21st-century_American_actors Category:American_television_actors,4.564931215
Langston_Kerman,342,1,en,,
,,,,,
Dua_Saleh,1218,1,en,Category:Rappers_from_Minneapolis Category:Musicians_from_Minneapolis,2.018314399
Cecil_Otter,116,1,en,,
,,,,,
A._M._Dellamonica,285,1,en,Category:Canadian_science_fiction_writers Category:20th-century_Canadian_short_story_writers Category:21st-century_Canadian_short_story_writers,3.359889892
Timothy_J._Anderson,189,1,en,,
,,,,,
Charlie_Jane_Anders,699,15,en de es fa fi fr hy id ja kk pa pl ru sq uk,Category:21st-century_American_novelists Category:Nebula_Award_winners Category:American_science_fiction_writers Category:Asimov's_Science_Fiction_people Category:Hugo_Award-winning_writers,3.178232092
Geoffrey_A._Landis,1577,18,en ar arz azb ca de es fr hu it ja mg nl no pt ro sv zh,,
,,,,,
Grimes_(musician),3513,27,en ar azb ca cs da de es fi fr gl hy it ja ka ko lt ms nl pl pt ru simple sr sv tr uk,Category:Canadian_electronic_musicians Category:Juno_Award_for_Electronic_Album_of_the_Year_winners Category:Musicians_from_Vancouver,2.365038464
Tim_Hecker,637,8,en ar cs es fa fr it pl,,
,,,,,
Alok_Vaid-Menon,373,1,en,Category:American_performance_artists Category:Performance_art_in_New_York_City,1.892500486
Joseph_Keckler,273,1,en,,
,,,,,
Eliot_Sumner,553,17,en ar arz azb da de es fa fr hu hy it ko nl pl ru sv,Category:21st-century_English_musicians Category:English_electronic_musicians,1.875700544
Kidnap_Kid,155,1,en,,
,,,,,
Akwaeke_Emezi,320,4,en eo fr sv,Category:21st-century_Nigerian_novelists Category:Igbo_novelists,2.803992475
Chris_Abani,547,15,en bg cs de es fa fr hy it nl ro ru sr sv yo,,
,,,,,
Tommy_Dorfman,197,5,en cs es it ko,Category:Actors_from_Atlanta Category:American_male_television_actors,2.626576691
Jayson_Warner_Smith,232,2,en es,,
,,,,,
Bex_Taylor-Klaus,625,13,en ast de es fa fr it ko nl pt ru tr zh,Category:American_television_actresses Category:American_film_actresses Category:21st-century_American_actresses,1.397222985
Grace_Park_(actress),680,34,en af ar ast azb bg ca de es fa fi fr fy he hr hu it ja kk ko la ms nl no pl pt ro ru sh sr sv tr ur zh,,
,,,,,
Beth_Jeans_Houghton,668,1,en,Category:Transcendental_Meditation_practitioners Category:British_folk-pop_singers,2.075510652
Donovan,7271,36,en ar arz azb bg br ca cs da de es eu fa fi fr gd gl he hr hu it ja ko nl nn no pl pt ro ru sco sh simple sk sv zh,,
,,,,,
Indya_Moore,961,9,en es eu fa fr it ko pa ru,Category:21st-century_American_actors Category:American_television_actors,2.803752938
Langston_Kerman,342,1,en,,
,,,,,
Imbi_the_Girl,455,1,en,Category:Rappers_from_Sydney Category:Australian_musicians,2.995765584
L-FRESH_the_Lion,141,1,en,,
,,,,,
Azis,619,25,en ar bg cs de es fi fr it ja nl pl pt rmy ro ru sah sh sk sr tr uk uz vep zh,Category:Bulgarian_pop-folk_singers Category:Bulgarian_male_singers Category:Big_Brother_(Bulgarian_TV_series)_contestants,3.955744346
Konstantin_(singer),242,3,en ar bg,,
,,,,,
Miley_Cyrus,8002,105,en af als an ar arz ast az azb bcl be bg bn br bs ca ceb co cs cv cy da de diq dty el eo es et eu fa fi fr ga gl gn gu he hi hr hu hy hyw id ilo io is it ja jv ka kk ko ksh ku ky la lb lt lv mai mk ml mn ms mt mzn ne nl nn no oc pa pl pnb pt ro ru sco sd sh simple sk sl sq sr su sv sw ta th tk tl tr uk ur uz vi war wuu xmf yi zh zh-min-nan zh-yue,Category:American_voice_actors Category:American_film_actors,1.822842129
Antonio_Raul_Corbo,225,3,en es id,,
,,,,,
Alex_Gino,400,3,en de fa,Category:American_children's_writers Category:21st-century_American_novelists Category:Novelists_from_New_York_(state),2.506470442
Scott_Mebus,142,1,en,,
,,,,,
Shamir_(musician),1068,4,en es fr ko,Category:XL_Recordings_artists Category:21st-century_male_singers Category:1994_births,2.197107513
King_Krule,1508,14,en da de es fi fr hu it ja ko pl pt ru sv,,
