,Value
Average SMD,0.001
Number of categories with > 0.25 SMD,42
Number of categories with > 0.1 SMD,1409
Number of categories with > 0.01 SMD,70
Number of categories with > 0.001 SMD,0
Number of categories with > 0.0001 SMD,0
Number of categories with < 0.0001 SMD,208092
Cohen's d for the differences in the number of categories between treatment and control,0.4710
Average number of target categories,13.2900
Average number of treatment categories,9.9300
Cohen's d for the differences in article length between treatment and control,0.1362
Average length of comparison article,1086.5
Average length of treatment article,914.9
log-odds_mean,-0.0160
log-ods_stdev,0.7876
Mean polarity of log-odds scores,3.6100
Std of polarity of log-odds scores,1.8100
KL divervence of article topics (direction 1),0.2615
KL divervence of article topics (direction 2),0.2860
