Word,Score,Word Count
her,12.87,80
she,10.47,65
She,7.83,58
I,6.03,104
they,5.28,139
Her,4.9,40
gender,4.64,70
They,4.62,99
Smith,4.58,21
my,4.49,44
queer,4.43,45
their,4.35,149
transgender,4.35,31
pronouns,4.22,53
non-binary,4.12,42
LGBT,4.05,32
gay,3.99,33
you,3.95,33
t,3.88,57
Queer,3.75,22
that,3.72,188
woman,3.71,31
me,3.52,42
,3.42,209
``,3.38,208
...,,
2003,-2.4,37
by,-2.41,203
released,-2.42,111
recorded,-2.43,37
episodes,-2.46,22
series,-2.48,117
research,-2.49,26
on,-2.49,236
member,-2.55,62
solo,-2.56,39
World,-2.57,62
Man,-2.58,31
team,-2.86,23
band,-2.91,39
The,-3.07,225
Park,-3.08,26
album,-3.11,67
development,-3.14,22
the,-3.15,254
&,-3.25,74
him,-3.87,55
His,-7.12,83
he,-11.64,145
He,-13,146
his,-14.23,160
