Word,Score,Word Count
P-Orridge,14.65,27
non-binary,11.44,91
Monáe,10.42,39
pronouns,10.09,120
Paglia,9.72,23
intersex,9.28,43
genderqueer,7.55,44
Delevingne,7.3,29
Cyrus,7.25,587
Halberstam,7.03,45
queer,6.77,404
gender,6.54,1755
they/them,6.3,29
Intersex,5.76,25
Mahogany,5.26,54
Drag,5.26,354
drag,5.09,716
She,4.76,7354
trans,4.72,187
she,4.68,11622
her,4.68,22497
transgender,4.27,570
Viloria,4.21,22
Crocker,4.2,195
RuPaul,4.09,173
...,,
made,-0.33,126375
round,-0.34,41735
[,-0.34,40474
games,-0.34,54635
],-0.35,40936
coach,-0.35,39052
win,-0.36,57933
football,-0.36,49683
match,-0.38,38870
scored,-0.38,43657
Cup,-0.4,49426
in,-0.42,341412
him,-0.42,114731
played,-0.45,123613
club,-0.46,60453
season,-0.47,99040
against,-0.49,100963
League,-0.5,74585
His,-0.51,152574
team,-0.59,108038
*,-0.68,32696
the,-0.84,342326
He,-1.27,321839
his,-1.29,307921
he,-1.3,309803
