Name,Text Length,Language Count,Languages,Categories in common,Match Score
Quinn_Christopherson,295,1,en,Category:21st-century_American_singers Category:Singers_from_Alaska Category:Songwriters_from_Alaska,2.664400623
Lincoln_Brewster,1132,3,en ar de,,
,,,,,
Balian_Buschbaum,182,12,en de es fi fr it ko nl pl pt ru sv,Category:German_male_pole_vaulters Category:Olympic_athletes_of_Germany Category:European_Athletics_Championships_medalists Category:Athletes_(track_and_field)_at_the_2000_Summer_Olympics,5.258276005
Tim_Lobinger,203,17,en ar arz cs de es et fi fr it nl nn no pl pt ru sv,,
,,,,,
Max_Wolf_Valerio,1574,1,en,Category:American_male_poets Category:American_male_essayists Category:American_memoirists Category:American_essayists,2.767252757
W._D._Ehrhart,476,1,en,,
,,,,,
Cary_Gabriel_Costello,269,2,en ru,Category:Intersex_men Category:Intersex_writers Category:Intersex_rights_activists Category:Intersex_academics,6.992806854
Dan_Christian_Ghattas,328,5,en de es ru sq,,
,,,,,
Shannon_Minter,453,2,en fr,Category:Lawyers_from_San_Francisco Category:Law_in_the_San_Francisco_Bay_Area,3.108058085
Dennis_Montali,485,1,en,,
,,,,,
Poppy_Z._Brite,1205,8,en arz ca de es fi fr ru,Category:American_male_novelists Category:20th-century_American_male_writers Category:20th-century_American_novelists Category:20th-century_American_non-fiction_writers Category:Novelists_from_Louisiana Category:21st-century_American_male_writers Category:21st-century_American_novelists Category:American_male_non-fiction_writers Category:21st-century_American_non-fiction_writers,3.694646055
Gary_Lavergne,189,2,en pl,,
,,,,,
Kortney_Ryan_Ziegler,766,2,en fr,Category:American_feminists Category:Male_feminists Category:Men_and_masculinities_scholars,2.288356737
Michael_Messner,2996,3,en de it,,
,,,,,
Freddy_McConnell,295,1,en,Category:The_Guardian_journalists Category:English_male_journalists Category:21st-century_British_journalists,3.064732948
Ian_King_(journalist),308,1,en,,
,,,,,
Cidny_Bullens,851,2,en fr,Category:MCA_Records_artists Category:American_pop_singers Category:American_male_singers Category:Musicians_from_Boston Category:21st-century_male_singers Category:American_male_pop_singers,3.259518989
Bobby_Brown,3655,34,en ar arz azb cs da de es fa fi fr he hu hy id it ja ko nl no oc pl pt ro ru sh simple sk sv th tr uk vo zh,,
,,,,,
Aidan_Key,539,1,en,Category:American_male_writers Category:American_educators,2.779525408
Jabari_Simama,782,1,en,,
,,,,,
Patricio_Manuel,338,1,en,Category:American_people_of_Irish_descent Category:Super-featherweight_boxers Category:American_male_boxers,2.644500053
Freddie_Roach_(boxing),900,11,en ar arz de es fi fr ja ru tl uk,,
,,,,,
Issa_Fazli,729,1,en,Category:American_Christians Category:Converts_to_Protestantism_from_Islam Category:American_former_Muslims,3.076582792
Naveed_Afzal_Haq,1420,1,en,,
,,,,,
Kylar_Broadus,370,1,en,Category:American_social_justice_activists Category:21st-century_American_lawyers Category:American_legal_scholars Category:20th-century_American_lawyers,2.12721098
Bryan_Stevenson,2117,8,en ar cs de fa fr nl uk,,
,,,,,
Mauro_Cabral_Grinspan,658,7,en ca es fr pa ru sq,Category:Intersex_men Category:Intersex_writers Category:Intersex_rights_activists Category:Intersex_academics,7.509403339
Dan_Christian_Ghattas,328,5,en de es ru sq,,
,,,,,
Ian_Harvie,561,2,en fr,Category:American_stand-up_comedians Category:21st-century_American_comedians,2.169482696
Jeremy_McLellan,312,1,en,,
,,,,,
Lee_Harrington,352,1,en,Category:American_erotic_artists Category:BDSM_writers Category:American_sex_educators,4.977233901
Robert_J._Rubel,593,1,en,,
,,,,,
S._Bear_Bergman,446,3,en de fr,Category:Jewish_American_writers Category:American_performance_artists Category:American_essayists,2.04553827
Valery_Oisteanu,268,3,en it ro,,
,,,,,
Schuyler_Bailar,1120,1,en,Category:Sportspeople_from_New_York_City Category:Swimmers_from_New_York_(state),3.46519669
Reed_Gershwind,312,1,en,,
,,,,,
Maxim_Februari,183,2,en nl,Category:21st-century_male_writers Category:21st-century_Dutch_novelists Category:Dutch_columnists Category:Dutch_male_novelists Category:20th-century_Dutch_male_writers Category:20th-century_Dutch_novelists,6.728442845
Kees_van_Kooten,415,5,en de eo fy nl,,
,,,,,
T_Cooper,325,2,en de,Category:American_male_novelists Category:Novelists_from_California Category:Novelists_from_New_York_(state) Category:21st-century_American_male_writers Category:21st-century_American_novelists,3.333283463
Brooks_Hansen,116,2,en ar,,
