Word,Score,Word Count
transgender,7.58,40
trans,4.67,28
man,4.63,40
male,3.63,21
gender,3.47,32
book,2.87,39
published,2.33,31
out,2.18,36
began,2.16,47
first,2.11,67
issues,2.03,24
wrote,1.88,26
``,1.79,72
community,1.76,23
,1.67,72
has,1.67,87
Award,1.65,33
lives,1.65,22
rights,1.6,22
March,1.6,21
music,1.59,24
a,1.57,105
and,1.55,106
2019,1.53,32
came,1.44,29
...,,
this,-0.83,35
2003,-0.9,25
then,-0.91,35
would,-0.91,23
such,-0.95,31
School,-0.95,31
,-0.97,30
At,-0.97,25
.,-0.99,106
&,-1.02,34
included,-1.02,21
the,-1.07,106
same,-1.09,22
joined,-1.09,22
College,-1.11,32
between,-1.13,26
world,-1.18,22
written,-1.2,32
John,-1.31,21
they,-1.32,24
with,-1.47,95
former,-1.6,23
New,-1.95,38
;,-2.05,39
:,-2.79,68
