,Value
Average SMD,0.0009
Number of categories with > 0.25 SMD,5
Number of categories with > 0.1 SMD,1441
Number of categories with > 0.01 SMD,80
Number of categories with > 0.001 SMD,0
Number of categories with > 0.0001 SMD,0
Number of categories with < 0.0001 SMD,208087
Cohen's d for the differences in the number of categories between treatment and control,-0.1254
Average number of target categories,9.9700
Average number of treatment categories,10.6800
Cohen's d for the differences in article length between treatment and control,0.2256
Average length of comparison article,1115.3
Average length of treatment article,837.1
log-odds_mean,-0.0372
log-ods_stdev,0.8045
Mean polarity of log-odds scores,3.6900
Std of polarity of log-odds scores,2.7000
KL divervence of article topics (direction 1),0.6946
KL divervence of article topics (direction 2),0.5586
