Word,Score,Word Count
transgender,9.73,111
trans,6.72,70
woman,6.61,101
Her,6.51,87
gender,6.26,79
I,5.51,94
transition,4.95,50
LGBT,4.59,48
surgery,4.53,46
herself,4.23,41
identity,4.05,50
openly,3.81,35
Transgender,3.81,30
female,3.69,44
male,3.66,48
reassignment,3.45,36
out,3.4,118
came,3.35,81
York,3.15,82
gay,3.11,25
sex,3.05,50
people,3.04,90
...,,
–,-2.1,41
son,-2.1,42
Academy,-2.14,33
:,-2.17,154
characters,-2.18,22
Press,-2.27,31
members,-2.29,46
president,-2.39,27
World,-2.4,58
member,-2.48,93
films,-2.49,22
series,-2.51,92
One,-2.53,34
wife,-2.56,44
the,-2.57,268
band,-2.57,42
John,-2.58,54
million,-2.59,35
edition,-2.69,25
of,-3.5,268
him,-6.34,75
His,-7.63,73
He,-16.19,140
his,-18.77,170
he,-18.91,151
