,Value
Average SMD,0.0059
Number of categories with > 0.25 SMD,8
Number of categories with > 0.1 SMD,187
Number of categories with > 0.01 SMD,26885
Number of categories with > 0.001 SMD,139004
Number of categories with > 0.0001 SMD,1
Number of categories with < 0.0001 SMD,43528
Cohen's d for the differences in the number of categories between treatment and control,-0.0775
Average number of target categories,15.0900
Average number of treatment categories,15.7600
Cohen's d for the differences in article length between treatment and control,0.2864
Average length of comparison article,865.90
Average length of treatment article,634.89
log-odds_mean,0.0001
log-ods_stdev,0.0656
Mean polarity of log-odds scores,3.6000
Std of polarity of log-odds scores,2.8900
KL divervence of article topics (direction 1),1.3400
KL divervence of article topics (direction 2),1.1200
